reference_site	intended_declaration_identity	actually_selected_declaration_identity	visible_candidate_set	failure_class	reach_vs_binding	witness_qualified	error_message
test.claim.source_admission_selection_witness (witness); bare=refusal_is		test.claim.compute_board_pin_chain_witness.refusal_is	test.claim.altra_minimal_design_witness|test.claim.compute_board_physical_witness|test.claim.compute_board_pin_chain_witness|test.claim.source_admission_selection_witness	call_contract_mismatch	bare_name_binding	test.claim.source_admission_selection_witness.source_admission_missing_base_receipt_refuses_not_incremental_empty	call contract mismatch calling 'refusal_is': no parameter named 'sel' (declared: [r, wanted])
test.claim.source_admission_selection_witness (witness); bare=refusal_is		test.claim.compute_board_pin_chain_witness.refusal_is	test.claim.altra_minimal_design_witness|test.claim.compute_board_physical_witness|test.claim.compute_board_pin_chain_witness|test.claim.source_admission_selection_witness	call_contract_mismatch	bare_name_binding	test.claim.source_admission_selection_witness.source_admission_production_unobservable_refuses_even_with_fixture_receipt	call contract mismatch calling 'refusal_is': no parameter named 'sel' (declared: [r, wanted])
test.claim.source_admission_selection_witness (witness); bare=refusal_is		test.claim.compute_board_pin_chain_witness.refusal_is	test.claim.altra_minimal_design_witness|test.claim.compute_board_physical_witness|test.claim.compute_board_pin_chain_witness|test.claim.source_admission_selection_witness	call_contract_mismatch	bare_name_binding	test.claim.source_admission_selection_witness.source_admission_receipt_tree_mismatch_refuses	call contract mismatch calling 'refusal_is': no parameter named 'sel' (declared: [r, wanted])
test.claim.source_integration_proof_kernel_acceptance.witness_p1_proof_kernel_acceptance_contract_holds				other	other	test.claim.source_integration_proof_kernel_acceptance.witness_p1_proof_kernel_acceptance_contract_holds	returned Bool(false)
test.claim.spark_capability_observation_witness_test (witness); bare=observation	test.claim.spark_capability_observation_witness_test.observation	test.claim.roadmap_forecast_witness.observation	test.claim.roadmap_forecast_witness|test.claim.spark_capability_observation_witness_test	call_contract_mismatch	bare_name_binding	test.claim.spark_capability_observation_witness_test.w_evidence_from_one_principal_does_not_answer_for_another	call contract mismatch calling 'observation': no parameter named 'host' (declared: [id, cell, duration_ms])
test.claim.spark_capability_observation_witness_test (witness); bare=observation	test.claim.spark_capability_observation_witness_test.observation	test.claim.roadmap_forecast_witness.observation	test.claim.roadmap_forecast_witness|test.claim.spark_capability_observation_witness_test	call_contract_mismatch	bare_name_binding	test.claim.spark_capability_observation_witness_test.w_the_exact_principal_gets_its_own_answer	call contract mismatch calling 'observation': no parameter named 'host' (declared: [id, cell, duration_ms])
test.claim.spark_capability_observation_witness_test (witness); bare=observation	test.claim.spark_capability_observation_witness_test.observation	test.claim.roadmap_forecast_witness.observation	test.claim.roadmap_forecast_witness|test.claim.spark_capability_observation_witness_test	call_contract_mismatch	bare_name_binding	test.claim.spark_capability_observation_witness_test.w_a_probe_that_may_have_established_the_subject_is_not_evidence	call contract mismatch calling 'observation': no parameter named 'host' (declared: [id, cell, duration_ms])
test.claim.spark_capability_observation_witness_test (witness); bare=observation	test.claim.spark_capability_observation_witness_test.observation	test.claim.roadmap_forecast_witness.observation	test.claim.roadmap_forecast_witness|test.claim.spark_capability_observation_witness_test	call_contract_mismatch	bare_name_binding	test.claim.spark_capability_observation_witness_test.w_an_inert_probe_of_durable_state_is_evidence	call contract mismatch calling 'observation': no parameter named 'host' (declared: [id, cell, duration_ms])
test.claim.spark_capability_observation_witness_test (witness); bare=observation	test.claim.spark_capability_observation_witness_test.observation	test.claim.roadmap_forecast_witness.observation	test.claim.roadmap_forecast_witness|test.claim.spark_capability_observation_witness_test	call_contract_mismatch	bare_name_binding	test.claim.spark_capability_observation_witness_test.w_an_absence_survives_a_self_establishing_probe	call contract mismatch calling 'observation': no parameter named 'host' (declared: [id, cell, duration_ms])
test.claim.spark_capability_observation_witness_test (witness); bare=observation	test.claim.spark_capability_observation_witness_test.observation	test.claim.roadmap_forecast_witness.observation	test.claim.roadmap_forecast_witness|test.claim.spark_capability_observation_witness_test	call_contract_mismatch	bare_name_binding	test.claim.spark_capability_observation_witness_test.red_control_unclassified_probe_effect_refuses	call contract mismatch calling 'observation': no parameter named 'host' (declared: [id, cell, duration_ms])
test.claim.spark_serving_realization_witness_test (witness); bare=process_identity_eq		gunbc.runner_connectivity_recovery.process_identity_eq	gunbc.runner_connectivity_recovery|gunbc.spark_serving_realization	call_contract_mismatch	bare_name_binding	test.claim.spark_serving_realization_witness_test.w_granting_sudo_does_not_upgrade_an_already_satisfied_intent	call contract mismatch calling 'process_identity_eq': no parameter named 'left' (declared: [a, b])
test.claim.spark_serving_realization_witness_test (witness); bare=process_identity_eq		gunbc.runner_connectivity_recovery.process_identity_eq	gunbc.runner_connectivity_recovery|gunbc.spark_serving_realization	call_contract_mismatch	bare_name_binding	test.claim.spark_serving_realization_witness_test.w_the_already_satisfied_host_selects_the_less_privileged_mechanism	call contract mismatch calling 'process_identity_eq': no parameter named 'left' (declared: [a, b])
test.claim.spark_serving_realization_witness_test (witness); bare=process_identity_eq		gunbc.runner_connectivity_recovery.process_identity_eq	gunbc.runner_connectivity_recovery|gunbc.spark_serving_realization	call_contract_mismatch	bare_name_binding	test.claim.spark_serving_realization_witness_test.w_privilege_enables_when_nothing_else_can_satisfy_the_intent	call contract mismatch calling 'process_identity_eq': no parameter named 'left' (declared: [a, b])
test.claim.spark_serving_realization_witness_test (witness); bare=process_identity_eq		gunbc.runner_connectivity_recovery.process_identity_eq	gunbc.runner_connectivity_recovery|gunbc.spark_serving_realization	call_contract_mismatch	bare_name_binding	test.claim.spark_serving_realization_witness_test.w_selection_is_not_constant_across_genuinely_different_hosts	call contract mismatch calling 'process_identity_eq': no parameter named 'left' (declared: [a, b])
test.claim.spark_serving_realization_witness_test (witness); bare=process_identity_eq		gunbc.runner_connectivity_recovery.process_identity_eq	gunbc.runner_connectivity_recovery|gunbc.spark_serving_realization	call_contract_mismatch	bare_name_binding	test.claim.spark_serving_realization_witness_test.w_user_unit_refused_when_it_cannot_satisfy_the_lifecycle	call contract mismatch calling 'process_identity_eq': no parameter named 'left' (declared: [a, b])
test.claim.spark_serving_realization_witness_test (witness); bare=process_identity_eq		gunbc.runner_connectivity_recovery.process_identity_eq	gunbc.runner_connectivity_recovery|gunbc.spark_serving_realization	call_contract_mismatch	bare_name_binding	test.claim.spark_serving_realization_witness_test.w_unobserved_capability_refuses_rather_than_admitting	call contract mismatch calling 'process_identity_eq': no parameter named 'left' (declared: [a, b])
test.claim.spark_serving_realization_witness_test (witness); bare=process_identity_eq		gunbc.runner_connectivity_recovery.process_identity_eq	gunbc.runner_connectivity_recovery|gunbc.spark_serving_realization	call_contract_mismatch	bare_name_binding	test.claim.spark_serving_realization_witness_test.w_system_unit_selected_when_it_is_the_only_admitted_mechanism	call contract mismatch calling 'process_identity_eq': no parameter named 'left' (declared: [a, b])
test.claim.spark_serving_realization_witness_test (witness); bare=process_identity_eq		gunbc.runner_connectivity_recovery.process_identity_eq	gunbc.runner_connectivity_recovery|gunbc.spark_serving_realization	call_contract_mismatch	bare_name_binding	test.claim.spark_serving_realization_witness_test.w_no_managed_executor_refuses_under_managed_authority	call contract mismatch calling 'process_identity_eq': no parameter named 'left' (declared: [a, b])
test.claim.spark_serving_realization_witness_test (witness); bare=process_identity_eq		gunbc.runner_connectivity_recovery.process_identity_eq	gunbc.runner_connectivity_recovery|gunbc.spark_serving_realization	call_contract_mismatch	bare_name_binding	test.claim.spark_serving_realization_witness_test.red_control_privilege_does_not_select_the_architecture	call contract mismatch calling 'process_identity_eq': no parameter named 'left' (declared: [a, b])
test.claim.spark_serving_realization_witness_test (witness); bare=process_identity_eq		gunbc.runner_connectivity_recovery.process_identity_eq	gunbc.runner_connectivity_recovery|gunbc.spark_serving_realization	call_contract_mismatch	bare_name_binding	test.claim.spark_serving_realization_witness_test.w_user_unit_is_structurally_inadmissible_under_a_separated_service_identity	call contract mismatch calling 'process_identity_eq': no parameter named 'left' (declared: [a, b])
test.claim.spark_serving_realization_witness_test (witness); bare=process_identity_eq		gunbc.runner_connectivity_recovery.process_identity_eq	gunbc.runner_connectivity_recovery|gunbc.spark_serving_realization	call_contract_mismatch	bare_name_binding	test.claim.spark_serving_realization_witness_test.w_user_unit_is_admissible_when_the_intent_does_not_require_separation	call contract mismatch calling 'process_identity_eq': no parameter named 'left' (declared: [a, b])
test.claim.spark_serving_realization_witness_test (witness); bare=process_identity_eq		gunbc.runner_connectivity_recovery.process_identity_eq	gunbc.runner_connectivity_recovery|gunbc.spark_serving_realization	call_contract_mismatch	bare_name_binding	test.claim.spark_serving_realization_witness_test.w_the_identity_refusal_needs_no_host_observation	call contract mismatch calling 'process_identity_eq': no parameter named 'left' (declared: [a, b])
test.claim.spark_serving_realization_witness_test (witness); bare=process_identity_eq		gunbc.runner_connectivity_recovery.process_identity_eq	gunbc.runner_connectivity_recovery|gunbc.spark_serving_realization	call_contract_mismatch	bare_name_binding	test.claim.spark_serving_realization_witness_test.red_control_system_unit_satisfies_the_identity_contract	call contract mismatch calling 'process_identity_eq': no parameter named 'left' (declared: [a, b])
test.claim.spark_serving_release_witness_test (witness); bare=process_identity_eq		gunbc.runner_connectivity_recovery.process_identity_eq	gunbc.runner_connectivity_recovery|gunbc.spark_serving_realization	call_contract_mismatch	bare_name_binding	test.claim.spark_serving_release_witness_test.w_an_absent_spark_with_the_existing_grant_is_ready_to_apply	call contract mismatch calling 'process_identity_eq': no parameter named 'left' (declared: [a, b])
test.claim.spark_serving_release_witness_test (witness); bare=process_identity_eq		gunbc.runner_connectivity_recovery.process_identity_eq	gunbc.runner_connectivity_recovery|gunbc.spark_serving_realization	call_contract_mismatch	bare_name_binding	test.claim.spark_serving_release_witness_test.w_the_same_absent_host_is_blocked_when_the_grant_is_missing	call contract mismatch calling 'process_identity_eq': no parameter named 'left' (declared: [a, b])
test.claim.spark_serving_release_witness_test (witness); bare=process_identity_eq		gunbc.runner_connectivity_recovery.process_identity_eq	gunbc.runner_connectivity_recovery|gunbc.spark_serving_realization	call_contract_mismatch	bare_name_binding	test.claim.spark_serving_release_witness_test.w_a_converged_host_is_no_change_even_with_no_grants	call contract mismatch calling 'process_identity_eq': no parameter named 'left' (declared: [a, b])
test.claim.spark_serving_release_witness_test (witness); bare=process_identity_eq		gunbc.runner_connectivity_recovery.process_identity_eq	gunbc.runner_connectivity_recovery|gunbc.spark_serving_realization	call_contract_mismatch	bare_name_binding	test.claim.spark_serving_release_witness_test.w_an_unobservable_host_blocks_on_observation_not_privilege	call contract mismatch calling 'process_identity_eq': no parameter named 'left' (declared: [a, b])
test.claim.spark_serving_release_witness_test (witness); bare=process_identity_eq		gunbc.runner_connectivity_recovery.process_identity_eq	gunbc.runner_connectivity_recovery|gunbc.spark_serving_realization	call_contract_mismatch	bare_name_binding	test.claim.spark_serving_release_witness_test.w_plan_row_applicable_requires_change_and_privilege	call contract mismatch calling 'process_identity_eq': no parameter named 'left' (declared: [a, b])
test.claim.spark_serving_release_witness_test (witness); bare=process_identity_eq		gunbc.runner_connectivity_recovery.process_identity_eq	gunbc.runner_connectivity_recovery|gunbc.spark_serving_realization	call_contract_mismatch	bare_name_binding	test.claim.spark_serving_release_witness_test.w_a_user_unit_is_inadmissible_under_a_no_login_identity_intent	call contract mismatch calling 'process_identity_eq': no parameter named 'left' (declared: [a, b])
test.claim.spark_serving_release_witness_test (witness); bare=process_identity_eq		gunbc.runner_connectivity_recovery.process_identity_eq	gunbc.runner_connectivity_recovery|gunbc.spark_serving_realization	call_contract_mismatch	bare_name_binding	test.claim.spark_serving_release_witness_test.w_the_intent_decides_admissibility_of_the_same_realization	call contract mismatch calling 'process_identity_eq': no parameter named 'left' (declared: [a, b])
test.claim.spark_serving_release_witness_test (witness); bare=process_identity_eq		gunbc.runner_connectivity_recovery.process_identity_eq	gunbc.runner_connectivity_recovery|gunbc.spark_serving_realization	call_contract_mismatch	bare_name_binding	test.claim.spark_serving_release_witness_test.w_an_inadmissible_realization_is_not_applicable	call contract mismatch calling 'process_identity_eq': no parameter named 'left' (declared: [a, b])
test.claim.spark_serving_release_witness_test (witness); bare=process_identity_eq		gunbc.runner_connectivity_recovery.process_identity_eq	gunbc.runner_connectivity_recovery|gunbc.spark_serving_realization	call_contract_mismatch	bare_name_binding	test.claim.spark_serving_release_witness_test.w_a_system_unit_under_the_no_login_intent_blocks_on_privilege	call contract mismatch calling 'process_identity_eq': no parameter named 'left' (declared: [a, b])
test.claim.spark_serving_release_witness_test (witness); bare=process_identity_eq		gunbc.runner_connectivity_recovery.process_identity_eq	gunbc.runner_connectivity_recovery|gunbc.spark_serving_realization	call_contract_mismatch	bare_name_binding	test.claim.spark_serving_release_witness_test.w_a_grant_observed_on_another_host_does_not_authorize_this_one	call contract mismatch calling 'process_identity_eq': no parameter named 'left' (declared: [a, b])
test.claim.spark_serving_release_witness_test (witness); bare=process_identity_eq		gunbc.runner_connectivity_recovery.process_identity_eq	gunbc.runner_connectivity_recovery|gunbc.spark_serving_realization	call_contract_mismatch	bare_name_binding	test.claim.spark_serving_release_witness_test.w_a_grant_observed_for_another_principal_does_not_authorize_this_one	call contract mismatch calling 'process_identity_eq': no parameter named 'left' (declared: [a, b])
test.claim.spark_serving_release_witness_test (witness); bare=process_identity_eq		gunbc.runner_connectivity_recovery.process_identity_eq	gunbc.runner_connectivity_recovery|gunbc.spark_serving_realization	call_contract_mismatch	bare_name_binding	test.claim.spark_serving_release_witness_test.w_evidence_mismatch_and_unobservability_are_different_answers	call contract mismatch calling 'process_identity_eq': no parameter named 'left' (declared: [a, b])
test.claim.spark_serving_release_witness_test (witness); bare=process_identity_eq		gunbc.runner_connectivity_recovery.process_identity_eq	gunbc.runner_connectivity_recovery|gunbc.spark_serving_realization	call_contract_mismatch	bare_name_binding	test.claim.spark_serving_release_witness_test.w_a_grant_observed_under_another_credential_does_not_authorize_the_plan	call contract mismatch calling 'process_identity_eq': no parameter named 'left' (declared: [a, b])
test.claim.spark_serving_release_witness_test (witness); bare=process_identity_eq		gunbc.runner_connectivity_recovery.process_identity_eq	gunbc.runner_connectivity_recovery|gunbc.spark_serving_realization	call_contract_mismatch	bare_name_binding	test.claim.spark_serving_release_witness_test.w_the_same_grant_under_the_expected_credential_is_ready_to_apply	call contract mismatch calling 'process_identity_eq': no parameter named 'left' (declared: [a, b])
test.claim.spark_serving_release_witness_test (witness); bare=process_identity_eq		gunbc.runner_connectivity_recovery.process_identity_eq	gunbc.runner_connectivity_recovery|gunbc.spark_serving_realization	call_contract_mismatch	bare_name_binding	test.claim.spark_serving_release_witness_test.w_an_unobserved_record_for_another_host_is_a_mismatch_not_an_observation_block	call contract mismatch calling 'process_identity_eq': no parameter named 'left' (declared: [a, b])
test.claim.spark_serving_release_witness_test (witness); bare=process_identity_eq		gunbc.runner_connectivity_recovery.process_identity_eq	gunbc.runner_connectivity_recovery|gunbc.spark_serving_realization	call_contract_mismatch	bare_name_binding	test.claim.spark_serving_release_witness_test.w_an_unobserved_record_for_this_host_blocks_on_observation	call contract mismatch calling 'process_identity_eq': no parameter named 'left' (declared: [a, b])
test.claim.spatial_knowledge_witness (witness); bare=admits		test.claim.check_coverage_admission_witness.admits	test.claim.altra_minimal_design_witness|test.claim.check_coverage_admission_witness|test.claim.compute_board_physical_witness|test.claim.compute_board_power_distribution_witness|test.claim.ice40_supply_witness|test.claim.spatial_knowledge_witness	call_contract_mismatch	bare_name_binding	test.claim.spatial_knowledge_witness.spatial_knowledge_witnesses	call contract mismatch calling 'admits': no parameter named 'dimension' (declared: [coverage])
test.claim.srv3_host_effect_apply_witness.witness_srv3_apply_shell_failure_refuses_typed				other	other	test.claim.srv3_host_effect_apply_witness.witness_srv3_apply_shell_failure_refuses_typed	returned Bool(false)
test.claim.srv3_host_effect_apply_witness.witness_srv3_apply_failure_surfaces_captured_stdout_not_fabricated				other	other	test.claim.srv3_host_effect_apply_witness.witness_srv3_apply_failure_surfaces_captured_stdout_not_fabricated	returned Bool(false)
test.claim.srv3_host_effect_apply_witness.witness_srv3_apply_failure_no_fabricated_stdout				other	other	test.claim.srv3_host_effect_apply_witness.witness_srv3_apply_failure_no_fabricated_stdout	returned Bool(false)
test.claim.srv3_install_media_fetch_real_execution.install_media_hash_matches_true_by_real_execution				other	other	test.claim.srv3_install_media_fetch_real_execution.install_media_hash_matches_true_by_real_execution	type error: hermetic mode: no mock_response for operation Dir — refusing to fabricate Unit
test.claim.srv3_install_media_fetch_real_execution.install_media_hash_matches_false_on_wrong_hash_by_real_execution				other	other	test.claim.srv3_install_media_fetch_real_execution.install_media_hash_matches_false_on_wrong_hash_by_real_execution	type error: hermetic mode: no mock_response for operation Dir — refusing to fabricate Unit
test.claim.srv3_install_media_fetch_real_execution.observe_install_media_fetch_covers_absent_verified_and_mismatch_by_real_execution				other	other	test.claim.srv3_install_media_fetch_real_execution.observe_install_media_fetch_covers_absent_verified_and_mismatch_by_real_execution	type error: hermetic mode: no mock_response for operation Dir — refusing to fabricate Unit
test.claim.srv3_seeded_install_media_real_execution.install_media_remaster_ensure_grub_cmdline_inserts_by_real_execution				other	other	test.claim.srv3_seeded_install_media_real_execution.install_media_remaster_ensure_grub_cmdline_inserts_by_real_execution	type error: hermetic mode: no mock_response for operation Dir — refusing to fabricate Unit
test.claim.srv3_subsumption.srv3_reconcile_adds_exactly_the_missing_fleet_key				other	other	test.claim.srv3_subsumption.srv3_reconcile_adds_exactly_the_missing_fleet_key	type error: atom_identity_hash requires exactly one string argument
test.claim.srv3_subsumption.srv3_reconcile_refuses_both_unowned_keys_never_teardown				other	other	test.claim.srv3_subsumption.srv3_reconcile_refuses_both_unowned_keys_never_teardown	type error: atom_identity_hash requires exactly one string argument
test.claim.srv3_subsumption.srv4_reconcile_is_converged_empty_plan				other	other	test.claim.srv3_subsumption.srv4_reconcile_is_converged_empty_plan	type error: atom_identity_hash requires exactly one string argument
test.claim.srv3_subsumption.srv3_and_srv4_disagree_on_convergence				other	other	test.claim.srv3_subsumption.srv3_and_srv4_disagree_on_convergence	type error: atom_identity_hash requires exactly one string argument
test.claim.srv3_subsumption.reconcile_would_teardown_only_if_ownership_claimed_it				other	other	test.claim.srv3_subsumption.reconcile_would_teardown_only_if_ownership_claimed_it	type error: atom_identity_hash requires exactly one string argument
test.claim.srv3_subsumption.comment_only_drift_is_one_change_not_remove_add				other	other	test.claim.srv3_subsumption.comment_only_drift_is_one_change_not_remove_add	type error: atom_identity_hash requires exactly one string argument
test.claim.stage0_rust_honest_frontier_integration_witness.honest_frontier_integration_joins_c1_and_c2				other	other	test.claim.stage0_rust_honest_frontier_integration_witness.honest_frontier_integration_joins_c1_and_c2	witness receipt wall budget exceeded: 501ms wall > 500ms whole-receipt budget (falsifier wet/silent-pick lane; kill-at-deadline)
test.claim.structured_application_mismatch_wall_witness.structured_single_authority_at_mechanism_field_accepts				other	other	test.claim.structured_application_mismatch_wall_witness.structured_single_authority_at_mechanism_field_accepts	exceeded Cpu budget (877ms elapsed against 500ms)
test.claim.transport_script_wall_compile_red.wall_red_string_join_into_retained_record_refuses				other	other	test.claim.transport_script_wall_compile_red.wall_red_string_join_into_retained_record_refuses	exceeded Cpu budget (1848ms elapsed against 500ms)
test.claim.transport_script_wall_compile_red.wall_red_deleted_free_minter_refuses				other	other	test.claim.transport_script_wall_compile_red.wall_red_deleted_free_minter_refuses	exceeded Cpu budget (1828ms elapsed against 500ms)
test.claim.typed_witness_invocation.typed_is_executable_positive_holds				other	other	test.claim.typed_witness_invocation.typed_is_executable_positive_holds	type error: hermetic mode: no mock_response for operation IsExecutable — refusing to fabricate Unit
test.claim.typed_witness_invocation.typed_is_executable_negative_red_control_holds				other	other	test.claim.typed_witness_invocation.typed_is_executable_negative_red_control_holds	type error: hermetic mode: no mock_response for operation IsExecutable — refusing to fabricate Unit
test.claim.typed_witness_invocation.typed_witness_bin_run_argv_holds				other	other	test.claim.typed_witness_invocation.typed_witness_bin_run_argv_holds	type error: hermetic mode: no mock_response for operation Run — refusing to fabricate Unit
test.claim.typed_witness_invocation.typed_witness_bin_run_nonzero_red_control_holds				other	other	test.claim.typed_witness_invocation.typed_witness_bin_run_nonzero_red_control_holds	type error: hermetic mode: no mock_response for operation Run — refusing to fabricate Unit
test.claim.typed_witness_invocation.typed_witness_bin_run_args_splice_holds				other	other	test.claim.typed_witness_invocation.typed_witness_bin_run_args_splice_holds	type error: hermetic mode: no mock_response for operation Run — refusing to fabricate Unit
test.claim.typed_witness_invocation.typed_witness_bin_run_workdir_anchors_holds				other	other	test.claim.typed_witness_invocation.typed_witness_bin_run_workdir_anchors_holds	type error: hermetic mode: no mock_response for operation Run — refusing to fabricate Unit
test.claim.typed_witness_invocation.typed_witness_bin_run_workdir_anchors_root_control_holds				other	other	test.claim.typed_witness_invocation.typed_witness_bin_run_workdir_anchors_root_control_holds	type error: hermetic mode: no mock_response for operation Run — refusing to fabricate Unit
test.claim.typed_witness_invocation.typed_witness_bin_run_loud_failure_red_control_holds				other	other	test.claim.typed_witness_invocation.typed_witness_bin_run_loud_failure_red_control_holds	type error: hermetic mode: no mock_response for operation Run — refusing to fabricate Unit
test.claim.typed_witness_invocation.typed_is_nonempty_positive_holds				other	other	test.claim.typed_witness_invocation.typed_is_nonempty_positive_holds	type error: hermetic mode: no mock_response for operation IsNonEmpty — refusing to fabricate Unit
test.claim.typed_witness_invocation.typed_is_nonempty_zero_byte_red_control_holds				other	other	test.claim.typed_witness_invocation.typed_is_nonempty_zero_byte_red_control_holds	type error: hermetic mode: no mock_response for operation IsNonEmpty — refusing to fabricate Unit
test.claim.typed_witness_invocation.typed_gunbc_cli_run_claim_holds				other	other	test.claim.typed_witness_invocation.typed_gunbc_cli_run_claim_holds	type error: hermetic mode: no mock_response for operation Run — refusing to fabricate Unit
test.claim.typed_witness_invocation.typed_claim_batch_pooled_run_red_control_holds				other	other	test.claim.typed_witness_invocation.typed_claim_batch_pooled_run_red_control_holds	type error: hermetic mode: no mock_response for operation Run — refusing to fabricate Unit
test.claim.typed_witness_invocation.typed_claim_executor_verify_build_artifacts_red_control_holds				other	other	test.claim.typed_witness_invocation.typed_claim_executor_verify_build_artifacts_red_control_holds	type error: hermetic mode: no mock_response for operation VerifyBuildArtifacts — refusing to fabricate Unit
test.claim.v1_dag_parse_witness.v1_dag_parse_witnesses				other	other	test.claim.v1_dag_parse_witness.v1_dag_parse_witnesses	type error: hermetic mode: no mock_response for operation IsExecutable — refusing to fabricate Unit
test.claim.where_refinement_enforcement_witness.where_refinement_non_empty_string_literal_accepts				other	other	test.claim.where_refinement_enforcement_witness.where_refinement_non_empty_string_literal_accepts	exceeded Cpu budget (760ms elapsed against 500ms)
test.claim.where_refinement_enforcement_witness.where_refinement_non_literal_int_var_compile_clean				other	other	test.claim.where_refinement_enforcement_witness.where_refinement_non_literal_int_var_compile_clean	exceeded Cpu budget (545ms elapsed against 500ms)
test.claim.where_refinement_enforcement_witness.where_refinement_direct_return_var_compile_clean				other	other	test.claim.where_refinement_enforcement_witness.where_refinement_direct_return_var_compile_clean	exceeded Cpu budget (535ms elapsed against 500ms)
test.claim.where_refinement_enforcement_witness.where_refinement_data_init_non_literal_compile_clean				other	other	test.claim.where_refinement_enforcement_witness.where_refinement_data_init_non_literal_compile_clean	exceeded Cpu budget (537ms elapsed against 500ms)
test.claim.where_refinement_enforcement_witness.where_refinement_range_non_literal_compile_clean				other	other	test.claim.where_refinement_enforcement_witness.where_refinement_range_non_literal_compile_clean	exceeded Cpu budget (752ms elapsed against 500ms)
test.claim.where_refinement_enforcement_witness.where_refinement_cast_literal_lower_hex_64_accepts				other	other	test.claim.where_refinement_enforcement_witness.where_refinement_cast_literal_lower_hex_64_accepts	exceeded Cpu budget (923ms elapsed against 500ms)
test.claim.where_refinement_enforcement_witness.where_refinement_cast_literal_lower_hex_40_accepts				other	other	test.claim.where_refinement_enforcement_witness.where_refinement_cast_literal_lower_hex_40_accepts	exceeded Cpu budget (923ms elapsed against 500ms)
test.claim.where_refinement_enforcement_witness.where_refinement_cast_literal_lower_hex_16_accepts				other	other	test.claim.where_refinement_enforcement_witness.where_refinement_cast_literal_lower_hex_16_accepts	exceeded Cpu budget (906ms elapsed against 500ms)
test.claim.where_refinement_enforcement_witness.where_refinement_cast_literal_oci_other_digest_algorithm_refuses				other	other	test.claim.where_refinement_enforcement_witness.where_refinement_cast_literal_oci_other_digest_algorithm_refuses	exceeded Cpu budget (682ms elapsed against 500ms)
test.claim.where_refinement_enforcement_witness.where_refinement_cast_literal_oci_other_digest_algorithm_accepts				other	other	test.claim.where_refinement_enforcement_witness.where_refinement_cast_literal_oci_other_digest_algorithm_accepts	exceeded Cpu budget (2061ms elapsed against 500ms)
v2.test.lens_inert_carrier.inert_carrier_test.inert_carrier_no_unrostered_or_stale				other	other	v2.test.lens_inert_carrier.inert_carrier_test.inert_carrier_no_unrostered_or_stale	returned Bool(false)
v2.test.lens_mutation_adequacy.mutation_adequacy_test (witness); bare=unit_is_discriminating				no_such_function	reach_gap	v2.test.lens_mutation_adequacy.mutation_adequacy_test.adequate_when_every_mutation_has_a_discriminating_witness	no such function: unit_is_discriminating
v2.test.lens_mutation_adequacy.mutation_adequacy_test (witness); bare=unit_is_discriminating				no_such_function	reach_gap	v2.test.lens_mutation_adequacy.mutation_adequacy_test.surviving_mutation_is_inadequate	no such function: unit_is_discriminating
v2.test.lens_testgen.generator_provenance.lens_testgen_scheduled_generators_carry_provenance_holds				other	other	v2.test.lens_testgen.generator_provenance.lens_testgen_scheduled_generators_carry_provenance_holds	witness receipt wall budget exceeded: 503ms wall > 500ms whole-receipt budget (falsifier wet/silent-pick lane; kill-at-deadline)
v2.test.lens_testgen.shadow_ci_receipt.lens_testgen_shadow_ci_run_receipt_holds				other	other	v2.test.lens_testgen.shadow_ci_receipt.lens_testgen_shadow_ci_run_receipt_holds	eval budget exceeded: 502ms thread-CPU > 500ms fast-lane budget (operator 5s rule 2026-07-12). This budget is enforced on THREAD CPU, not wall. RELOCATING THE FILE DOES NOT DISCHARGE IT: moving a witness under a long/ dir removes it from per-PR discovery without giving it an executing consumer, which deletes the coverage while retaining the source (the gunbc#7762 specimen behind the 2026-08-04 admission ruling). Either reduce the witness's cost, or enroll it in a lane that declares its own dated ceiling AND names the row as an executing consumer.
v2.test.lens_vacuity.vacuity_test (witness); bare=nat_add_left_identity_input				no_such_function	reach_gap	v2.test.lens_vacuity.vacuity_test.vacuity_rung5_emit_vs_eval_classifies_proven_independent	no such function: nat_add_left_identity_input
v2.test.lens_vacuity.vacuity_test (witness); bare=nat_add_left_identity_input				no_such_function	reach_gap	v2.test.lens_vacuity.vacuity_test.vacuity_unified_node_corpus_matches_transport_classifier	no such function: nat_add_left_identity_input
v2.test.lens_vacuity.vacuity_test (witness); bare=nat_add_left_identity_input				no_such_function	reach_gap	v2.test.lens_vacuity.vacuity_test.vacuity_falsification_cases_each_match_expected_evidence	no such function: nat_add_left_identity_input
v2.test.lens_vacuity.vacuity_test (witness); bare=nat_add_left_identity_input				no_such_function	reach_gap	v2.test.lens_vacuity.vacuity_test.vacuity_advisory_census_partitions_falsification_suite	no such function: nat_add_left_identity_input
v2.test.lens_vacuity.vacuity_test (witness); bare=nat_add_left_identity_input				no_such_function	reach_gap	v2.test.lens_vacuity.vacuity_test.vacuity_falsification_suite_nonempty	no such function: nat_add_left_identity_input
v2.test.claim.auth_declared_but_unwired_witness.auth_declared_but_unwired_witness_keystone_holds				other	other	v2.test.claim.auth_declared_but_unwired_witness.auth_declared_but_unwired_witness_keystone_holds	type error: hermetic mode: no mock_response for operation IsExecutable — refusing to fabricate Unit
